Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.7378647657893995,0.5427626748056082,32.10803697690234,-1.1910153589487957,relu,0.001,"(50, 50)",constant,adam,lymphocytes,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.6652520566306486,0.5174065433756281,33.814519847682924,-0.781001677334245,tanh,0.001,"(50, 50)",constant,sgd,lymphocytes,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.7378647657894001,0.5427626748056085,32.10803697690236,-1.1910153589487988,relu,0.001,"(50, 50)",constant,adam,lymphocytes,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.5005508795374238,0.41310669735242017,23.890693968506177,-0.008296673581958292,relu,0.0001,"(100,)",constant,sgd,lymphocytes,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.7457031293376154,0.5560785030026385,30.837073324904203,-0.49919745191987097,relu,0.0001,"(50, 50)",adaptive,sgd,lymphocytes,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.8144025781262165,0.6465447509946058,35.30900487287169,-0.788155092400199,tanh,0.001,"(50, 50)",constant,sgd,lymphocytes,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.745703129337616,0.5560785030026393,30.837073324904228,-0.49919745191987297,relu,0.0001,"(50, 50)",adaptive,sgd,lymphocytes,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.6189040437163447,0.4920040474156265,27.7826308680186,-0.03269849634341204,relu,0.001,"(50, 50)",constant,adam,lymphocytes,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.8268589524642954,0.6474352586548994,33.72926466866556,-0.7606101598860819,tanh,0.001,"(50, 50)",adaptive,sgd,lymphocytes,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.8245347734328804,0.691108943783367,37.02682409294115,-0.750726437308801,tanh,0.001,"(50, 50)",adaptive,sgd,lymphocytes,,,,,,,,,,,,,,
