mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12261357307434081,0.0024870090930544193,0.01091146469116211,0.0003547695054703139,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-0.000345774103980754,-0.0006808483450296195,-0.0003842466499661008,-9.302739699488243e-05,-2.978088552974265e-05,-0.0003067354763002199,0.00023232194194797946,1
0.11259450912475585,0.0019168962803335955,0.0313072681427002,0.040836558021600786,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-0.00037079313948692316,-0.0007002601077961062,-0.00038514190228766134,-0.00010306063068818715,-8.649514654661426e-05,-0.0003291501853610984,0.0002247619794879381,11
0.23963408470153807,0.012241425926595382,0.011320209503173828,0.000429922252350932,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.00036041193626618284,-0.0007411959421389486,-0.000425199227617711,-0.00011033625250375041,-3.233359777963779e-05,-0.0003338953912612461,0.000251337008913341,12
0.21801142692565917,0.039869530476307126,0.010513782501220703,0.00015994123394295274,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.00044597382287903396,-0.0007959074333774924,-0.00044333299041919675,-0.00011619891016859184,-0.00019057486524601486,-0.00039839760441806604,0.00023879830131328465,23
0.22890281677246094,0.042000238195750224,0.010856008529663086,0.0002698623066942447,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-0.00034885524081849727,-0.0006731774306841862,-0.0003949361743052157,-9.1354617067525e-05,-3.130646370068588e-05,-0.000307925985315222,0.00023068424851782951,2
0.2412898063659668,0.030986235092758947,0.014038610458374023,0.004969595603214325,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-0.0003805586647950283,-0.000690813193366061,-0.0004116618905525327,-9.324086019389116e-05,-2.5251286518547107e-05,-0.0003203051790852121,0.00023994487881551655,7
0.4362776279449463,0.05093640413025091,0.03579716682434082,0.049575107712745925,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-0.00036558726943815783,-0.0007294497227364894,-0.0004477807824386655,-0.00010114917760412394,-3.7318704913413764e-05,-0.00033625713142617015,0.0002500152508902587,15
0.5105834007263184,0.08809274840334068,0.01186685562133789,0.000697573444277961,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-0.00046523189829216074,-0.0007799360332189747,-0.0004957453952387671,-0.00010059469668482216,-2.9611149255620763e-05,-0.0003742238345380691,0.0002761460314695063,19
0.26257615089416503,0.0102439101650119,0.0411949634552002,0.0609085617484684,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-0.0003490420318232248,-0.0006730903709202591,-0.0003954912443010614,-9.080470025095045e-05,-3.156860703602925e-05,-0.000307999390866305,0.0002307458595041066,3
0.29512677192687986,0.028468786750336556,0.03167595863342285,0.04153512726936475,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-0.0003809880817860582,-0.0006900733159538757,-0.0004124067436934093,-9.0359028734312e-05,-3.0026122016114033e-05,-0.00032077065843675386,0.00023917761918950146,8
0.5347863674163819,0.06344474516276813,0.011188936233520509,0.0007125345824330794,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-0.00036420347258007686,-0.0007264371880963546,-0.0004488210262058719,-0.00010091214256502708,-3.83393367863783e-05,-0.0003357426332467418,0.0002489309372569911,14
0.6022048473358155,0.08800023616593813,0.011501312255859375,0.0005419483486251745,0.8,0.01,10,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-0.00046683747894371634,-0.0007802060841770076,-0.0004981033923449554,-9.706672254392926e-05,-3.314439743186398e-05,-0.00037507161508829447,0.0002763666667602046,20
0.13731398582458496,0.018675323458325035,0.01110234260559082,0.0003144418607351531,0.8,0.1,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-0.0004597780244099508,-0.001095263486888332,-0.0007108352125758756,-0.00021344395130891436,-6.004072866770842e-05,-0.0005078722807701562,0.0003676347585457078,25
0.16690192222595215,0.06654877856937776,0.011285495758056641,0.0006733442887549542,0.8,0.1,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-0.000518024596950323,-0.0011678882519131149,-0.000719767213782576,-0.00018120107130119227,-0.0002414920799176838,-0.0005656746427729779,0.0003582151698520139,29
0.28393049240112306,0.04016217434753055,0.011061334609985351,0.0006853567154718189,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.0004857996364447922,-0.0010890308410181303,-0.000741650914177594,-0.0002250089119583466,-6.915774725429946e-05,-0.0005221296101706325,0.00036451356445002,26
0.215767240524292,0.002609366435724795,0.010667943954467773,0.0002507368113965557,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.0005323525831825112,-0.0012165831802018008,-0.0007601657762521144,-0.00019167300019747713,-0.00024881927302548146,-0.000589918762571877,0.00037415364545008987,34
