Sample Type,Train Percentage,Model,Accuracy,F1 Score,ROC AUC,target_variable
CAPILAR,0.8,Random Forest,0.8047138047138046,0.85,0.9231076055325221,group_fam
CAPILAR,0.8,Random Forest,0.7373737373737373,0.8,0.9111657921446575,group_fam
CAPILAR,0.8,MLP,0.8047138047138046,0.85,0.8659228547993841,group_fam
CAPILAR,0.8,MLP,0.7744107744107743,0.8189890885750962,0.9122069789478021,group_fam
CAPILAR,0.8,Decision Tree,0.788047138047138,0.8296794871794871,0.8556475957198982,group_fam
CAPILAR,0.8,Decision Tree,0.8183501683501685,0.8542032967032966,0.873935779747793,group_fam
CAPILAR,0.8,XGBoost,0.8350168350168351,0.8753132832080202,0.9407235124698974,group_fam
CAPILAR,0.8,XGBoost,0.7979797979797979,0.85,0.9507271453878795,group_fam
CAPILAR,0.7,Random Forest,0.7677224736048265,0.8283169662891687,0.9470156120911426,group_fam
CAPILAR,0.7,Random Forest,0.7737556561085973,0.8304699453551911,0.9529719245061097,group_fam
CAPILAR,0.7,MLP,0.779788838612368,0.834077380952381,0.9223350894043912,group_fam
CAPILAR,0.7,MLP,0.6380090497737556,0.7107621715469572,0.8769022564895312,group_fam
CAPILAR,0.7,Decision Tree,0.8506787330316743,0.8837226548016314,0.8998569320774402,group_fam
CAPILAR,0.7,Decision Tree,0.7345399698340875,0.797281673750253,0.8380887305547491,group_fam
CAPILAR,0.7,XGBoost,0.7616892911010558,0.8269537480063797,0.9479193953682413,group_fam
CAPILAR,0.7,XGBoost,0.7481146304675717,0.8156190476190477,0.9401838762376644,group_fam
CAPILAR,0.6,Random Forest,0.7612958226768969,0.8136062249986302,0.9357357950192698,group_fam
CAPILAR,0.6,Random Forest,0.7809036658141517,0.8281720916214588,0.9297834140668891,group_fam
CAPILAR,0.6,MLP,0.8005115089514067,0.8427528659368805,0.9425210476897631,group_fam
CAPILAR,0.6,MLP,0.8397271952259165,0.8740522191554836,0.9297839051469116,group_fam
CAPILAR,0.6,Decision Tree,0.8346121057118498,0.8730399164978447,0.8901374434766893,group_fam
CAPILAR,0.6,Decision Tree,0.6990403742321901,0.7664556962025316,0.7943934590054961,group_fam
CAPILAR,0.6,XGBoost,0.7468030690537084,0.8041282582807745,0.9298993089521922,group_fam
CAPILAR,0.6,XGBoost,0.8005115089514067,0.8488684311469121,0.9484159722795149,group_fam
PLASMA,0.8,Random Forest,0.8424242424242424,0.8800808897876643,0.9655122655122655,group_fam
PLASMA,0.8,Random Forest,0.8090909090909091,0.856825075834176,0.9600829725829726,group_fam
