Sample Type,Train Percentage,Model,Accuracy,F1 Score,ROC AUC,target_variable
PLASMA,0.8,MLP,0.9242424242424243,0.9321866108589837,0.9934072871572871,group_fam
PLASMA,0.8,MLP,0.903030303030303,0.929913256346123,0.9833333333333334,group_fam
PLASMA,0.8,Decision Tree,0.6909090909090909,0.7311184939091916,0.7991973304473304,group_fam
PLASMA,0.8,Decision Tree,0.6545454545454545,0.7013689393354077,0.7618506493506493,group_fam
PLASMA,0.8,XGBoost,0.7757575757575758,0.8331837345301237,0.9703914141414142,group_fam
PLASMA,0.8,XGBoost,0.8696969696969696,0.9028199078755197,0.9829545454545454,group_fam
PLASMA,0.7,Random Forest,0.7787114845938374,0.8397693822553898,0.9652130639489839,group_fam
PLASMA,0.7,Random Forest,0.7983193277310924,0.8566385135135135,0.9665236307288874,group_fam
PLASMA,0.7,MLP,0.9089635854341737,0.9368322649572649,0.9807670302163419,group_fam
PLASMA,0.7,MLP,0.7574059927001104,0.8082107843137254,0.9611496053257933,group_fam
PLASMA,0.7,Decision Tree,0.7954333248450896,0.8140190972222222,0.8505238003772462,group_fam
PLASMA,0.7,Decision Tree,0.731304643069349,0.7616232549536799,0.8047989698988932,group_fam
PLASMA,0.7,XGBoost,0.9089635854341737,0.9368322649572649,0.9812980511353478,group_fam
PLASMA,0.7,XGBoost,0.9089635854341737,0.9368322649572649,0.9838601823708206,group_fam
PLASMA,0.6,Random Forest,0.826555023923445,0.8678431372549019,0.9729034337506738,group_fam
PLASMA,0.6,Random Forest,0.8066188197767145,0.8521429602937738,0.9649530329889765,group_fam
PLASMA,0.6,MLP,0.8341307814992026,0.8678822526453037,0.9523131862669731,group_fam
PLASMA,0.6,MLP,0.799043062200957,0.8264371114299378,0.9439254702412597,group_fam
PLASMA,0.6,Decision Tree,0.6072567783094098,0.6618211287879323,0.7654033611992532,group_fam
PLASMA,0.6,Decision Tree,0.6678628389154705,0.7285227660640748,0.7676970666380166,group_fam
PLASMA,0.6,XGBoost,0.8568580542264753,0.8934337873080267,0.9686008257895292,group_fam
PLASMA,0.6,XGBoost,0.826555023923445,0.8698778061949417,0.9686767732338977,group_fam
SALIVA,0.8,Random Forest,0.4736495388669302,0.5346169772256729,0.7032508349046211,group_fam
SALIVA,0.8,Random Forest,0.501427316644708,0.553555032599051,0.7018140672663634,group_fam
SALIVA,0.8,MLP,0.5027448397013615,0.5377470355731225,0.6921951400712659,group_fam
SALIVA,0.8,MLP,0.5727931488801054,0.5965424127457333,0.7248760860820239,group_fam
SALIVA,0.8,Decision Tree,0.35891523935002195,0.4000168520390968,0.5182712135091764,group_fam
SALIVA,0.8,Decision Tree,0.48012736056214317,0.4830084019903745,0.6072662134682595,group_fam
SALIVA,0.8,XGBoost,0.47375933245498464,0.5166463970811798,0.6618031276209859,group_fam
SALIVA,0.8,XGBoost,0.575318401405358,0.6054358838817673,0.7150937862685889,group_fam
SALIVA,0.7,Random Forest,0.5408496732026143,0.5729141859172818,0.6965654358777197,group_fam
SALIVA,0.7,Random Forest,0.5714869281045751,0.6060693045987164,0.7120116615650786,group_fam
SALIVA,0.7,MLP,0.42211328976034856,0.38627450980392153,0.6353192620688296,group_fam
SALIVA,0.7,MLP,0.5497004357298475,0.5558914622759673,0.7168155492463452,group_fam
SALIVA,0.7,Decision Tree,0.5408496732026143,0.5754698460580814,0.6591654097536451,group_fam
SALIVA,0.7,Decision Tree,0.4276960784313726,0.45725306516049047,0.5857938699612575,group_fam
SALIVA,0.7,XGBoost,0.5789760348583878,0.6146238522399513,0.6902527257760823,group_fam
SALIVA,0.7,XGBoost,0.5581427015250545,0.589162291919056,0.697890388558641,group_fam
SALIVA,0.6,Random Forest,0.3765993265993266,0.4254854528995282,0.6127905706426148,group_fam
SALIVA,0.6,Random Forest,0.3991582491582492,0.44969541328236984,0.6228845069776283,group_fam
SALIVA,0.6,MLP,0.5409090909090909,0.5532073625759601,0.7155908533747599,group_fam
SALIVA,0.6,MLP,0.4760942760942761,0.48686208405177955,0.6512734417504047,group_fam
SALIVA,0.6,Decision Tree,0.3769360269360269,0.43485086342229196,0.54557739410108,group_fam
SALIVA,0.6,Decision Tree,0.33459595959595956,0.3866347327885789,0.4915963933079442,group_fam
SALIVA,0.6,XGBoost,0.4211279461279461,0.4678257890927574,0.5994127954867734,group_fam
SALIVA,0.6,XGBoost,0.39175084175084174,0.4416779402296189,0.6031334325299283,group_fam
SERUM,0.8,Random Forest,0.8425925925925926,0.8786069096388905,0.9723020434227331,group_fam
SERUM,0.8,Random Forest,0.8055555555555555,0.8513048651165197,0.9772908684546616,group_fam
SERUM,0.8,MLP,0.898148148148148,0.9261406025824963,0.9719029374201789,group_fam
SERUM,0.8,MLP,0.8740740740740741,0.8838852167534424,0.9680715197956578,group_fam
SERUM,0.8,Decision Tree,0.7777777777777777,0.8274067896473106,0.8607975278233898,group_fam
SERUM,0.8,Decision Tree,0.7351851851851853,0.7788809182209468,0.8461953794927933,group_fam
SERUM,0.8,XGBoost,0.8055555555555555,0.8513048651165197,0.9665150063856961,group_fam
SERUM,0.8,XGBoost,0.8333333333333334,0.874759421912727,0.9656860062032475,group_fam
SERUM,0.7,Random Forest,0.8717948717948718,0.9118561430899653,0.9640969798702246,group_fam
SERUM,0.7,Random Forest,0.8717948717948718,0.9118561430899653,0.9655291603821015,group_fam
SERUM,0.7,MLP,0.923076923076923,0.9486531129439183,0.9793380638968875,group_fam
SERUM,0.7,MLP,0.8968520410645647,0.9046044536180685,0.9607271813154167,group_fam
SERUM,0.7,Decision Tree,0.7414975915924683,0.7868852459016393,0.8171503109477493,group_fam
SERUM,0.7,Decision Tree,0.7826108110738091,0.8311229753852705,0.8466715671530661,group_fam
SERUM,0.7,XGBoost,0.8521870286576169,0.8961505682817158,0.9605388102304611,group_fam
SERUM,0.7,XGBoost,0.8521870286576169,0.8961505682817158,0.9553782423564208,group_fam
SERUM,0.6,Random Forest,0.8558776167471821,0.8946221017765732,0.9635007425310445,group_fam
SERUM,0.6,Random Forest,0.8413848631239936,0.8828749321799413,0.9673588223094973,group_fam
SERUM,0.6,MLP,0.8759661835748792,0.8913928358372804,0.9605540236506257,group_fam
SERUM,0.6,MLP,0.8592995169082126,0.8674410764742978,0.9381858442740603,group_fam
SERUM,0.6,Decision Tree,0.7504025764895331,0.8086173792239887,0.8446452809750328,group_fam
SERUM,0.6,Decision Tree,0.7565619967793881,0.8098292502374841,0.8327434206822257,group_fam
SERUM,0.6,XGBoost,0.8454106280193235,0.8850588570360236,0.9583222444354886,group_fam
SERUM,0.6,XGBoost,0.8268921095008052,0.8711858877848038,0.9566372790719967,group_fam
URINE,0.8,Random Forest,0.5515873015873015,0.6296363636363637,0.7027749297486139,group_fam
URINE,0.8,Random Forest,0.46428571428571425,0.5382575757575758,0.6123642439431913,group_fam
URINE,0.8,MLP,0.5238095238095237,0.5265561740890689,0.6970503911293383,group_fam
URINE,0.8,MLP,0.5079365079365079,0.5493170731707316,0.7414843928001823,group_fam
URINE,0.8,Decision Tree,0.373015873015873,0.4674418604651162,0.5578861927546138,group_fam
URINE,0.8,Decision Tree,0.36507936507936506,0.4081196581196581,0.5216355282144756,group_fam
URINE,0.8,XGBoost,0.5674603174603174,0.6200750469043153,0.7177698032961191,group_fam
URINE,0.8,XGBoost,0.48412698412698413,0.5483822042467139,0.6945536188957243,group_fam
URINE,0.7,Random Forest,0.3921011586452763,0.4319376026272578,0.6088393007837384,group_fam
URINE,0.7,Random Forest,0.42240418894830656,0.44172596241561757,0.5815051112939891,group_fam
URINE,0.7,MLP,0.5534759358288771,0.5597290640394089,0.6714866311217933,group_fam
URINE,0.7,MLP,0.43432486631016043,0.4639809057220024,0.6052947672197844,group_fam
URINE,0.7,Decision Tree,0.31216577540106955,0.3642873176206509,0.4478561112605719,group_fam
URINE,0.7,Decision Tree,0.2833667557932264,0.3419890710382514,0.45959193666895937,group_fam
URINE,0.7,XGBoost,0.3921011586452763,0.4319376026272578,0.5710659197611392,group_fam
URINE,0.7,XGBoost,0.464349376114082,0.49619194364957075,0.5901463783187694,group_fam
URINE,0.6,Random Forest,0.5269151138716356,0.5607975317965705,0.6998553518690818,group_fam
URINE,0.6,Random Forest,0.5189786059351277,0.5496315192743764,0.7027066132443706,group_fam
URINE,0.6,MLP,0.5626639061421671,0.4599865646961554,0.7129765327476999,group_fam
URINE,0.6,MLP,0.546583850931677,0.41666666666666663,0.6894780708739519,group_fam
URINE,0.6,Decision Tree,0.398895790200138,0.42507692307692313,0.540377141292473,group_fam
URINE,0.6,Decision Tree,0.4070393374741201,0.45013356379635444,0.5521026646884771,group_fam
URINE,0.6,XGBoost,0.5388543823326432,0.5561320754716981,0.6721903141353942,group_fam
URINE,0.6,XGBoost,0.5189786059351277,0.5532154994089835,0.6729290338443658,group_fam
