Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,Accuracy
1602.566610067018,0.007069227310346568,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1600.638130391847,0.0050333506203857755,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1351.864252294801,0.003986601923064217,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1353.792731969972,0.003952494790208552,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1349.93577261963,0.003949817968467629,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1355.721211645143,0.003931186251557556,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1357.649691320314,0.003916435850346628,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1359.578170995484,0.003907203524549513,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1361.506650670656,0.003900617153518554,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1348.007292944459,0.0038256398274306926,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1363.435130345826,0.003823277001183639,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1346.078813269288,0.0036863575853669658,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1365.363610020997,0.003654228144921366,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1170.587162828736,0.003646879272345851,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1168.658683153565,0.0036361570928155162,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1172.515642503907,0.0035592136555614045,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
1344.150333594117,0.0035466257361401617,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,0.8047138047138046
