mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,criterion,max_depth,max_features,n_estimators,target_variable,Sample Type,Train Percentage,Model,param_bootstrap,param_min_samples_leaf,param_min_samples_split,bootstrap,min_samples_leaf,min_samples_split,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,activation,alpha,hidden_layer_sizes,learning_rate,solver,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_splitter,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_gamma,param_min_child_weight,gamma,min_child_weight
0.1905789852142334,0.0007963985042707508,0.008615541458129882,7.270780089945383e-05,entropy,4,sqrt,200.0,0.9125,0.9777777777777779,0.9333333333333332,0.9583333333333334,1.0,0.956388888888889,0.0310515302499603,9,entropy,4.0,sqrt,200.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09563822746276855,0.00024779380526216923,0.004761600494384765,3.597122485077937e-05,entropy,4,log2,100.0,0.9125,0.9777777777777779,0.9333333333333332,0.9583333333333334,1.0,0.956388888888889,0.0310515302499603,9,entropy,4.0,log2,100.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19103198051452636,0.0008443590178590486,0.008561134338378906,4.890499174166446e-05,entropy,4,log2,200.0,0.9125,0.9777777777777779,0.9333333333333332,0.9583333333333334,1.0,0.956388888888889,0.0310515302499603,9,entropy,4.0,log2,200.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09854416847229004,0.00030831677819818487,0.004786872863769531,1.7929711229190726e-05,entropy,8,sqrt,100.0,0.9555555555555556,0.9777777777777779,0.9111111111111111,0.9583333333333334,1.0,0.9605555555555556,0.029418227321941628,1,entropy,8.0,sqrt,100.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1962419033050537,0.000828768803289682,0.00867605209350586,6.918691911773302e-05,entropy,8,sqrt,200.0,0.9125,0.9777777777777779,0.9333333333333332,0.9583333333333334,1.0,0.956388888888889,0.0310515302499603,9,entropy,8.0,sqrt,200.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0981989860534668,0.0003317342984062659,0.0047893524169921875,2.3394682604374094e-05,entropy,8,log2,100.0,0.9555555555555556,0.9777777777777779,0.9111111111111111,0.9583333333333334,1.0,0.9605555555555556,0.029418227321941628,1,entropy,8.0,log2,100.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19639158248901367,0.000797012563042313,0.008665657043457032,4.931118739541301e-05,entropy,8,log2,200.0,0.9125,0.9777777777777779,0.9333333333333332,0.9583333333333334,1.0,0.956388888888889,0.0310515302499603,9,entropy,8.0,log2,200.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09843935966491699,0.00032665554027644193,0.004844141006469726,7.504141358661053e-05,entropy,12,sqrt,100.0,0.9555555555555556,0.9777777777777779,0.9111111111111111,0.9583333333333334,1.0,0.9605555555555556,0.029418227321941628,1,entropy,12.0,sqrt,100.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19692201614379884,0.0008452263450568307,0.008642911911010742,5.248913756876929e-05,entropy,12,sqrt,200.0,0.9125,0.9777777777777779,0.9111111111111111,0.9583333333333334,1.0,0.9519444444444446,0.03532914021241035,21,entropy,12.0,sqrt,200.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09877204895019531,0.000678878003980148,0.004814672470092774,6.604495885155023e-06,entropy,12,log2,100.0,0.9555555555555556,0.9777777777777779,0.9111111111111111,0.9583333333333334,1.0,0.9605555555555556,0.029418227321941628,1,entropy,12.0,log2,100.0,group_fam,CAPILAR,0.8,Random Forest (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
