Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),459.2560694095986,360.42132883631336,17.653268185876485,0.12730780586980273,tanh,0.0001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),448.369814158574,353.2503140432893,16.849396016032653,0.16819023267891686,tanh,0.001,"(100,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),457.31043908719914,358.27600524215825,17.59577820280713,0.1346864334761746,tanh,0.001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),492.5266556803608,408.9990976274593,19.947780308886458,-0.0037158020443452955,relu,0.001,"(100,)",constant,adam,anaerobicthreshold_absolute,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),600.3089070304471,478.152438036526,20.918228322843525,-1.0423826099967086,tanh,0.001,"(50,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),488.8720952084421,367.61849080368995,15.401463309255492,-0.3544969345701374,tanh,0.0001,"(50,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),511.8849462916178,400.67721691925396,16.960460659800475,-0.4850198035383435,tanh,0.001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),424.4209944298571,354.43699929566293,15.327817046931317,-0.020895399516162927,tanh,0.001,"(100,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),522.124930849968,398.681409487284,16.979992525035033,-0.5649519187943295,tanh,0.0001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),613.2330318561535,506.4187697255337,22.147474611858883,-1.158754310077748,tanh,0.001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),499.73212255611327,409.3484372314327,18.419954286450547,-0.43359563705154125,tanh,0.0001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),424.7326625996508,353.73920256900027,15.594883116510635,-0.03557953126266833,tanh,0.001,"(100,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),555.8167289040215,458.2353386425608,21.912349896023354,-0.4772627702249512,tanh,0.0001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),450.4363058707142,378.88106615592875,17.91892928130172,0.029799931147177827,tanh,0.0001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),585.9437913031313,481.35689142461433,23.066228037280688,-0.6417477833581353,tanh,0.001,"(50,)",adaptive,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),465.41307496267365,383.66325273429766,18.630794197372552,-0.035789930545195414,tanh,0.001,"(50,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),593.0536701353378,495.99255197313215,21.43345968750865,-1.0368140274972903,relu,0.0001,"(100,)",constant,adam,anaerobicthreshold_absolute,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),470.7940880875202,369.2541450669911,15.514824825364526,-0.28358721514275165,tanh,0.0001,"(50,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),593.0536701353378,495.992551973132,21.433459687508645,-1.0368140274972903,relu,0.0001,"(100,)",constant,adam,anaerobicthreshold_absolute,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),416.4137824708637,351.5056105942516,15.510410197210417,-0.004184635610359644,tanh,0.001,"(50,)",constant,sgd,anaerobicthreshold_absolute,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),477.39328916675424,383.33119292365103,18.60136644336949,0.057016916642194104,,,,,,anaerobicthreshold_absolute,squared_error,8.0,sqrt,100.0,,,,,,,,,,
