mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03272933959960937,0.0007919034167487877,0.004875707626342774,6.710056149870463e-05,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-4810.447429129246,-4214.639543835214,-278.33790132226835,-307287.1201650031,-2294.5423485640276,-63777.01747757078,121765.41414963345,17
0.06389718055725098,0.0001724026094546339,0.009412336349487304,0.00011203576967298361,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-2981.314876161533,-4252.428822642258,-324.7800083212075,-307368.7465151462,-1882.1030129081196,-63361.87464703587,122010.26983286794,11
0.03237638473510742,0.0004289663383784799,0.00489511489868164,7.111456720670131e-05,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-4810.447429129246,-4214.639543835214,-278.33790132226835,-307287.1201650031,-2294.5423485640276,-63777.01747757078,121765.41414963345,17
0.06346120834350585,0.000195577223663555,0.009333181381225585,5.653032718107168e-05,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-2981.314876161533,-4252.428822642258,-324.7800083212075,-307368.7465151462,-1882.1030129081196,-63361.87464703587,122010.26983286794,11
0.03449993133544922,0.00023048640124908023,0.004840040206909179,7.991255876580737e-06,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-4780.977065173039,-4118.636119371326,-272.24768958790526,-306847.91375029366,-2356.682539133068,-63675.2914327118,121596.36298366822,15
0.06941652297973633,0.00031567106070332497,0.009483528137207032,9.121876141797704e-05,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-2949.717338291433,-4126.307440491252,-320.2642265760408,-306979.6752893144,-1871.5989522510986,-63249.51264938484,121871.53029817226,1
0.034853029251098636,0.00022323677373494032,0.004981040954589844,7.58156086515495e-06,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-4780.977065173039,-4118.636119371326,-272.24768958790526,-306847.91375029366,-2356.682539133068,-63675.2914327118,121596.36298366822,15
0.06934418678283691,0.000421319362734091,0.009465837478637695,0.00011752363515417702,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-2949.717338291433,-4126.307440491252,-320.2642265760408,-306979.6752893144,-1871.5989522510986,-63249.51264938484,121871.53029817226,1
0.035840177536010744,0.0001337763736682935,0.004968833923339844,5.7273760447795275e-05,squared_error,12,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-4325.023183327504,-4130.627975131344,-275.06140287967776,-307054.9542949887,-2316.5127988673917,-63620.43593103891,121726.04932400327,13
0.07158441543579101,0.000783642713336244,0.009664440155029297,0.0002562955412370718,squared_error,12,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-2759.225290418469,-4103.349257361894,-334.32510442633617,-307332.3848387906,-1848.5800759997007,-63275.572913399395,122034.57211299417,9
0.035747718811035153,0.00019714096334469742,0.0048978328704833984,1.594733382052483e-05,squared_error,12,log2,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-4325.023183327504,-4130.627975131344,-275.06140287967776,-307054.9542949887,-2316.5127988673917,-63620.43593103891,121726.04932400327,13
0.07186017036437989,0.0005740283789610926,0.009626388549804688,0.00016385369536661007,squared_error,12,log2,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 200}",-2759.225290418469,-4103.349257361894,-334.32510442633617,-307332.3848387906,-1848.5800759997007,-63275.572913399395,122034.57211299417,9
0.04651460647583008,0.000299425928683563,0.004795169830322266,2.7225940284321922e-05,absolute_error,4,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-4550.165899166665,-4993.076894166666,-210.64554249999998,-306967.065695,-2313.4496058333343,-63806.88072733333,121592.121889407,21
0.09268198013305665,0.0009372974510631354,0.009323740005493164,7.492363689763268e-05,absolute_error,4,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-2882.642151666667,-4552.726099583333,-229.23693749999998,-307004.28388500004,-1677.3421197916664,-63269.24623870834,121875.79389898787,5
0.046488475799560544,0.00027945519160830557,0.004812383651733398,5.1293716871019806e-05,absolute_error,4,log2,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-4550.165899166665,-4993.076894166666,-210.64554249999998,-306967.065695,-2313.4496058333343,-63806.88072733333,121592.121889407,21
0.09298605918884277,0.0007352641179943312,0.009540319442749023,0.0001778123780912081,absolute_error,4,log2,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-2882.642151666667,-4552.726099583333,-229.23693749999998,-307004.28388500004,-1677.3421197916664,-63269.24623870834,121875.79389898787,5
0.05715785026550293,0.0008495698012187179,0.004937362670898437,8.875864845996255e-05,absolute_error,8,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-4659.86652,-4885.766523333331,-215.11707166666665,-307307.9043883333,-2337.3608825,-63881.20307716667,121725.26620909259,23
0.1134312629699707,0.0017782430592213562,0.009534883499145507,9.623365398020755e-05,absolute_error,8,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-2915.0218093750004,-4491.095432708333,-240.02379583333348,-307048.7308039583,-1678.768799583333,-63274.72812829165,121895.04514640075,7
0.05647425651550293,0.0007335643283512428,0.004860353469848633,5.677034245785401e-05,absolute_error,8,log2,100,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-4659.86652,-4885.766523333331,-215.11707166666665,-307307.9043883333,-2337.3608825,-63881.20307716667,121725.26620909259,23
0.11347193717956543,0.0013129087178379872,0.00952448844909668,0.0001284386001866767,absolute_error,8,log2,200,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-2915.0218093750004,-4491.095432708333,-240.02379583333348,-307048.7308039583,-1678.768799583333,-63274.72812829165,121895.04514640075,7
0.0610356330871582,0.0007477484308643423,0.004978275299072266,6.457396332119018e-05,absolute_error,12,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-4368.936264999999,-4898.190519166666,-202.34574750000004,-307223.4099891666,-2250.682154166667,-63788.712934999996,121728.7234339231,19
0.12098956108093262,0.002210342789907301,0.009537601470947265,9.876845821871407e-05,absolute_error,12,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-2797.9906412499995,-4460.015910416667,-227.06087875000003,-307129.5888408332,-1645.3765495833331,-63252.006564166644,121946.69489884065,3
0.06111540794372559,0.0009821564581606675,0.005020761489868164,5.800162988695662e-05,absolute_error,12,log2,100,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-4368.936264999999,-4898.190519166666,-202.34574750000004,-307223.4099891666,-2250.682154166667,-63788.712934999996,121728.7234339231,19
0.12137584686279297,0.0026347602696301705,0.009590959548950196,0.00011297112599103187,absolute_error,12,log2,200,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 200}",-2797.9906412499995,-4460.015910416667,-227.06087875000003,-307129.5888408332,-1645.3765495833331,-63252.006564166644,121946.69489884065,3
