mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight
0.27491140365600586,0.002083583245426406,0.0004803657531738281,3.538549403703942e-05,relu,0.001,"(50,)",constant,sgd,-23287851.094455346,-16306822.998773903,-25068522.088754497,-20396223.72174979,-26946771.60607821,-22401238.30196235,3734282.780308032,37,relu,0.001,"(50,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09487223625183105,0.07558912406561412,0.0003573894500732422,1.865158769188685e-05,relu,0.001,"(50,)",adaptive,adam,-113.75467398170245,-125.40815424754587,-387.8772250464989,-265.02725232115364,-117.63623342394301,-201.94070780416877,108.89770728446169,33,relu,0.001,"(50,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.276090145111084,0.006708957728927061,0.0005754947662353516,0.00016324590971425077,relu,0.001,"(50,)",adaptive,sgd,-23287851.094455346,-16306822.998773903,-25068522.088754497,-20396223.72174979,-26946771.60607821,-22401238.30196235,3734282.780308032,37,relu,0.001,"(50,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.043640661239624026,0.0398290004857215,0.0004065513610839844,6.404819482589723e-05,relu,0.001,"(100,)",constant,adam,-160.49880507976343,-100.73211474473769,-184.80331947808997,-152.60204240714455,-114.95287556429582,-142.7178314548063,30.72048871557816,14,relu,0.001,"(100,)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.341643762588501,0.008853326691417713,0.0005443096160888672,0.00011485323539099568,relu,0.001,"(100,)",constant,sgd,-26730531.863958165,-22998180.028810896,-25411350.75574636,-26861204.779048298,-23893399.4613057,-25178933.37777388,1529692.4780400828,41,relu,0.001,"(100,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04119009971618652,0.03763057304506592,0.00036702156066894533,2.0154254544197766e-05,relu,0.001,"(100,)",adaptive,adam,-160.49880507976343,-100.73211474473769,-184.80331947808997,-152.60204240714455,-114.95287556429582,-142.7178314548063,30.72048871557816,14,relu,0.001,"(100,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33943495750427244,0.01099532437629725,0.00046281814575195314,3.661829967568661e-05,relu,0.001,"(100,)",adaptive,sgd,-26730531.863958165,-22998180.028810896,-25411350.75574636,-26861204.779048298,-23893399.4613057,-25178933.37777388,1529692.4780400828,41,relu,0.001,"(100,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014960050582885742,0.0038220916458556373,0.0003681182861328125,5.91547197193203e-06,relu,0.001,"(50, 50)",constant,adam,-144.1737086916365,-151.2871695291709,-177.54840100554262,-178.80030622702967,-307.9388905880639,-191.94969520828872,59.61507029667316,27,relu,0.001,"(50, 50)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005484724044799804,0.00028521422202483607,0.0003514289855957031,3.348062454517738e-06,relu,0.001,"(50, 50)",constant,sgd,-410079647.57969165,-431647.3420567709,-469227436.29071844,-427417.91102251963,-183114.8084327567,-176069852.7863844,216026452.8072803,45,relu,0.001,"(50, 50)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015065336227416992,0.003747531758822553,0.0003704547882080078,8.791666919883413e-06,relu,0.001,"(50, 50)",adaptive,adam,-144.1737086916365,-151.2871695291709,-177.54840100554262,-178.80030622702967,-307.9388905880639,-191.94969520828872,59.61507029667316,27,relu,0.001,"(50, 50)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03215117454528808,0.002444518894389461,0.00035748481750488283,8.314760354650585e-06,relu,0.001,"(50, 50)",adaptive,sgd,-410079647.57969165,-431647.3420567709,-469227436.29071844,-427417.91102251963,-183114.8084327567,-176069852.7863844,216026452.8072803,45,relu,0.001,"(50, 50)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10496478080749512,0.017575242105764645,0.0003689765930175781,1.1372941088946033e-05,tanh,0.0001,"(50,)",constant,adam,-52.00949137571448,-58.35386194909186,-74.38492699604474,-84.52354617174399,-69.44606597830901,-67.74357849418081,11.526504787362851,3,tanh,0.0001,"(50,)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01876406669616699,0.006502008447727036,0.0003481864929199219,8.351595576832362e-06,tanh,0.0001,"(50,)",constant,sgd,-64.96549919067752,-130.95920677263837,-78.22710287995197,-159.00834773769972,-135.10062490418628,-113.65215629703077,35.89451181881286,11,tanh,0.0001,"(50,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10347557067871094,0.0169370660463804,0.0003590583801269531,6.3885502848502455e-06,tanh,0.0001,"(50,)",adaptive,adam,-52.00949137571448,-58.35386194909186,-74.38492699604474,-84.52354617174399,-69.44606597830901,-67.74357849418081,11.526504787362851,3,tanh,0.0001,"(50,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04192090034484863,0.006435637923107718,0.0003807544708251953,3.685399096787411e-05,tanh,0.0001,"(50,)",adaptive,sgd,-64.96549919067752,-130.95920677263837,-78.22710287995197,-159.00834773769972,-135.10062490418628,-113.65215629703077,35.89451181881286,11,tanh,0.0001,"(50,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0952075481414795,0.03063082678977282,0.0004138946533203125,1.515037046939588e-05,tanh,0.0001,"(100,)",constant,adam,-91.69321146768104,-100.82378797842766,-84.67945004946294,-129.65206502249967,-74.5207660316101,-96.27385610993628,18.77986259485503,7,tanh,0.0001,"(100,)",constant,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015347814559936524,0.0012057545664867682,0.000362396240234375,4.0573210499158185e-06,tanh,0.0001,"(100,)",constant,sgd,-75.82120120875416,-455.0875589732093,-119.70828622161626,-169.40476814734828,-134.87254603485414,-190.9788721171564,135.43082798559843,25,tanh,0.0001,"(100,)",constant,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09400897026062012,0.028347474498300808,0.00038475990295410155,3.525610254257459e-05,tanh,0.0001,"(100,)",adaptive,adam,-91.69321146768104,-100.82378797842766,-84.67945004946294,-129.65206502249967,-74.5207660316101,-96.27385610993628,18.77986259485503,7,tanh,0.0001,"(100,)",adaptive,adam,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.041297197341918945,0.0010184468707030328,0.0003640174865722656,3.44314731569971e-06,tanh,0.0001,"(100,)",adaptive,sgd,-75.82120120875416,-455.0875589732093,-119.70828622161626,-169.40476814734828,-134.87254603485414,-190.9788721171564,135.43082798559843,25,tanh,0.0001,"(100,)",adaptive,sgd,ffm_%,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
