mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03336896896362305,0.0005513196213394491,0.004980993270874023,6.618860465782226e-05,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-112768.39039931231,-194305.06770967643,-173930.5063628414,-99868.02562062432,-188764.85637725823,-153927.36929394252,39649.9904420363,21
0.06565670967102051,0.0006509756434137908,0.009420680999755859,7.254312235476213e-05,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-111521.25527769956,-184290.88127896082,-172491.0195615584,-97031.57106919728,-189487.84944265275,-150964.51532601376,38788.18779768574,9
0.032898569107055665,0.00013439218597936903,0.004778385162353516,4.390114147180016e-05,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-112768.39039931231,-194305.06770967643,-173930.5063628414,-99868.02562062432,-188764.85637725823,-153927.36929394252,39649.9904420363,21
0.06513104438781739,0.0003319903369438992,0.009288930892944336,0.00012945190065464428,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-111521.25527769956,-184290.88127896082,-172491.0195615584,-97031.57106919728,-189487.84944265275,-150964.51532601376,38788.18779768574,9
0.03620491027832031,0.00014693987516341392,0.005015039443969726,1.8312409425419834e-05,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-104140.01108963769,-190653.90958853226,-162501.49227153725,-104194.57521555501,-197728.3084228843,-151843.6593176293,40672.593285657174,11
0.07714905738830566,0.006890497453207246,0.010199546813964844,0.0010145990972254243,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-107273.69090018538,-181165.33195304094,-161452.31533933795,-105193.21141153855,-193018.2829591182,-149620.5665126442,36838.762343957686,5
0.047789478302001955,0.013711480501166533,0.005625438690185547,0.0009910035590832119,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-104140.01108963769,-190653.90958853226,-162501.49227153725,-104194.57521555501,-197728.3084228843,-151843.6593176293,40672.593285657174,11
0.07236599922180176,0.0003770310130435499,0.009676122665405273,0.00018348410072828737,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-107273.69090018538,-181165.33195304094,-161452.31533933795,-105193.21141153855,-193018.2829591182,-149620.5665126442,36838.762343957686,5
0.03729233741760254,0.00021770102681676248,0.004955577850341797,2.509241996334494e-05,squared_error,12,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-109707.72698086561,-185033.81129410464,-167906.79258810938,-100168.65637249993,-196498.74436394338,-151863.14631990457,39495.386778031294,13
0.07412128448486328,0.0006274792621748005,0.009519481658935547,3.888623835739576e-05,squared_error,12,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-108377.66576766832,-175707.26291880186,-166483.55682013364,-100499.38511493197,-191404.15428843469,-148494.4049819941,36927.68745458077,3
0.03737068176269531,0.0001606007794458715,0.0050506114959716795,2.1506043061569837e-05,squared_error,12,log2,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-109707.72698086561,-185033.81129410464,-167906.79258810938,-100168.65637249993,-196498.74436394338,-151863.14631990457,39495.386778031294,13
0.07409696578979492,0.0005440591907764443,0.009642696380615235,4.1783180793337776e-05,squared_error,12,log2,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 200}",-108377.66576766832,-175707.26291880186,-166483.55682013364,-100499.38511493197,-191404.15428843469,-148494.4049819941,36927.68745458077,3
0.050795888900756835,0.00036273026757842184,0.004809379577636719,2.6779830277944225e-05,absolute_error,4,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-126727.96748958332,-188582.2380590278,-175204.5064472222,-95329.35772000001,-195650.07159714284,-156298.82826259523,38832.655620704325,23
0.100471830368042,0.00062976397434765,0.009292125701904297,0.00012027332369761482,absolute_error,4,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-124455.54726232638,-184590.85416892363,-176303.77524461807,-91367.70102232145,-191960.57196964283,-153735.68993356646,39165.27553063064,19
0.05053071975708008,0.00023495269252736667,0.004787254333496094,4.77074087408468e-05,absolute_error,4,log2,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-126727.96748958332,-188582.2380590278,-175204.5064472222,-95329.35772000001,-195650.07159714284,-156298.82826259523,38832.655620704325,23
0.10019135475158691,0.0005226580747008012,0.009275436401367188,9.66349060254946e-05,absolute_error,4,log2,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-124455.54726232638,-184590.85416892363,-176303.77524461807,-91367.70102232145,-191960.57196964283,-153735.68993356646,39165.27553063064,19
0.06313495635986328,0.0006353423531565077,0.004959774017333984,3.779288705535433e-05,absolute_error,8,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-116346.86920138886,-179054.96847569442,-175018.7656402778,-102275.85348142855,-192741.83771928572,-153087.65890361508,36495.07831162342,15
0.12532567977905273,0.0008765164558680303,0.009495162963867187,7.448535256975464e-05,absolute_error,8,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-118114.73380833335,-176295.40615260415,-171155.50426996525,-98035.05432196429,-184534.2899321428,-149626.99769700196,34779.163453449146,7
