Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),86.09035003898103,68.14572520270524,52.94367214501096,-0.6093585138059772,relu,0.0001,"(100,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),86.34213764621411,68.85452120515829,54.34324831435904,-0.6187860302605768,relu,0.0001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),86.09035003898086,68.14572520270512,52.943672145011,-0.609358513805971,relu,0.0001,"(100,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),68.53025525662092,52.12040660989743,48.256951514702514,-0.019784844602225293,relu,0.0001,"(100,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),113.90222087576609,99.03536705820162,72.36316523470504,-2.7416727930577593,relu,0.0001,"(100,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),6200.226565978628,5464.241114530947,5874.042422422131,-11086.063657227123,tanh,0.001,"(50, 50)",constant,sgd,salivarytestosterone,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),113.90222087576608,99.03536705820159,72.36316523470504,-2.741672793057759,relu,0.0001,"(100,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),62.26027053533904,48.70351470338239,73.49973429405802,-0.11795269910546757,relu,0.001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),11289333.510844238,1701973.7660378942,41.6304792069905,-0.02325637280634707,relu,0.0001,"(50,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),11289330.295213098,1701978.604059673,48.34392599901275,-0.023255789881839295,relu,0.001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),11289333.510844238,1701973.7660378942,41.630479206990486,-0.02325637280634707,relu,0.0001,"(50,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),11289320.667948931,1701998.968919547,84.61381331253132,-0.02325404466766967,tanh,0.001,"(100,)",adaptive,sgd,salivarytestosterone,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),112.25194441755394,87.83969239453657,98.88418406058193,-3.087007947018507,relu,0.0001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),115.75552256316654,88.52643604532655,94.8845964361285,-3.346114630596369,relu,0.001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),112.25194441755403,87.83969239453663,98.88418406058196,-3.087007947018513,relu,0.0001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),55.56946714786756,43.92463809618715,43.19974312998915,-0.0015905120131698425,relu,0.0001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),80.39933166741767,61.17499287055279,63.58574792689414,-0.4023134216043782,relu,0.001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),87.1060049339317,56.30606829776319,44.33253649452259,-0.6460249147136574,relu,0.0001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),80.39933166741766,61.17499287055282,63.58574792689414,-0.4023134216043778,relu,0.001,"(50, 50)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),137.66404823689265,119.80179633765893,91.90503255260477,-3.111320053376824,relu,0.0001,"(50,)",constant,adam,salivarytestosterone,,,,,,,,,,,,,,
