mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_kwargs,param_model_kwargs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.635805749893187,0.12847109963845868,0.008285856246948243,0.0015875474833100549,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
16.717431211471556,0.17850265433223178,0.009486913681030273,0.0006368320649446669,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.1865891456604,0.14099652504867752,0.00936732292175293,0.0008932585228285283,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.3907612323761,0.45494279584049924,0.010859537124633788,0.001434047028525378,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.157907962799072,0.12750523514033935,0.010646247863769531,0.0009569984153742743,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.402360010147095,0.4595318398615066,0.010928630828857422,0.003080753706034818,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.063550615310668,0.11258993910474659,0.010588264465332032,0.00097435494267368,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.143636751174927,0.18785329494704336,0.010241174697875976,0.0006514232717437326,"{'epochs': 300, 'verbose': 0}","{'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 16, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
16.55415282249451,0.2199375179875831,0.00923471450805664,0.0007895301051481382,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
17.070845651626588,0.3382413633105358,0.009885501861572266,0.002226591441600402,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
16.63531560897827,0.061301805831751585,0.009714460372924805,0.0010654842124993998,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 1, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.080535793304442,0.16232210080221063,0.009689712524414062,0.00036607228699205913,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.40093207359314,0.1596312195033493,0.010533428192138672,0.0012239303119024015,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.35130910873413,0.28181947118749207,0.00977783203125,0.0018223342289781655,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 2, 'interpretation_filters': 16, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.203130340576173,0.18004491072113896,0.011790990829467773,0.0037965185971262703,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 4, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
18.356740617752074,0.19157748241230885,0.010414457321166993,0.0008514582681667223,"{'epochs': 300, 'verbose': 0}","{'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}","{'fit_kwargs': {'epochs': 300, 'verbose': 0}, 'model_kwargs': {'filters': 32, 'kernel_size': 3, 'pool_size': 3, 'num_sequences': 4, 'interpretation_filters': 8, 'double_interpretation': True, 'sklearn_wrapper': True, 'activation_end': 'relu', 'compile_kwargs': {'optimizer': 'adam', 'loss': 'categorical_crossentropy', 'metrics': ['accuracy']}}}",,,,,,,,1
