mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.046158885955810545,0.0008405776204068458,0.0006459236145019531,6.491738197470384e-05,squared_error,,1,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-75.6190625,-88.77,-118.03468749999998,-62.8509375,-94.79096774193549,-88.0131310483871,18.62554531808568,91
0.012768125534057618,0.00021061021204927928,0.0006143569946289063,6.771765930158929e-05,squared_error,,1,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-104.488125,-78.91218749999999,-75.9275,-69.93593750000001,-65.25354838709677,-78.90345967741936,13.6394138003153,38
0.03933992385864258,0.0009548763758011837,0.0006423473358154296,4.4884132319887204e-05,squared_error,,1,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",-65.78437934027778,-90.89332031250004,-103.97830295138888,-54.4830251736111,-78.50609094982075,-78.72902374551971,17.5555015647172,36
0.007660341262817383,0.00012065783656105318,0.0005517959594726563,8.471881396148711e-06,squared_error,,1,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",-103.40532118055555,-79.55134982638889,-118.38918402777773,-69.12354383680554,-74.39186155913977,-88.9722520861335,18.80947513790823,96
0.03411788940429687,0.0015562587404188365,0.00061492919921875,3.3439308546106995e-05,squared_error,,1,10,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",-69.06749908042208,-88.36585765325805,-107.64071465911594,-57.98032682178486,-80.39192064482602,-80.68926377188139,16.947922842808335,51
0.005747652053833008,0.00012544031420266824,0.0005432605743408203,1.107617895856465e-05,squared_error,,1,10,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",-92.09838772774154,-64.59345176986882,-81.40891843427187,-79.84186224115805,-53.62001103146155,-74.31252624090037,13.563995000451037,22
0.03807196617126465,0.0012245365168133762,0.0006953716278076172,8.761207723238566e-05,squared_error,,2,2,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-69.33506944444443,-72.47047743055555,-106.25773437499998,-65.45724826388887,-97.12273297491039,-82.12865249775984,16.382471569905455,64
0.007495689392089844,0.00014239984701686998,0.0005588054656982422,2.8641365910359625e-05,squared_error,,2,2,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-84.14453125000001,-88.84170138888888,-94.89908854166666,-62.244739583333335,-83.7402598566308,-82.77406412410394,11.028121504050453,67
0.036954212188720706,0.0011428898859216312,0.0005960941314697265,2.8997972713125626e-05,squared_error,,2,5,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",-62.809735243055556,-88.73146050347225,-110.31815321180554,-61.46333550347221,-77.67241487455196,-80.19901986727152,18.10945365132396,49
0.006814241409301758,0.00014063576174492447,0.0005491733551025391,4.505038764546083e-06,squared_error,,2,5,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",-109.90783203125001,-80.03366319444444,-91.64054904513888,-89.27817925347225,-85.04812499999996,-91.1816697048611,10.162690799434488,100
