run_id,target,sample_type,train_percentage,model_type,search_to_use,scale,apply_pls,apply_smote_resampling,n_components,main_run_id,experiment_id,test_acc,f1,cm,recall,precision,acc,roc_auc
caf10bc198414d2093192f3be1a3d74e,group_fam,CAPILAR,0.8,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.8047138047138046,0.85,"[[ 7  0  2]
 [ 0 20  0]
 [ 4  0  7]]",0.85,0.8570707070707071,0.85,0.9231076055325221
42835e8808d745e0843cbb3caf8b7e8f,group_fam,PLASMA,0.8,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.8424242424242424,0.8800808897876643,"[[ 8  1  1]
 [ 0 22  0]
 [ 2  1  8]]",0.8837209302325582,0.8824289405684754,0.8837209302325582,0.9655122655122655
ab7a775bded946c1ad62f7bf1c49f1f5,group_fam,SALIVA,0.8,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.4736495388669302,0.5346169772256729,"[[ 2  8  1]
 [ 4 17  2]
 [ 4  2  6]]",0.5434782608695652,0.5365539452495974,0.5434782608695652,0.7032508349046211
4067eb08f0c448d0aeb087e9088c4b10,group_fam,SERUM,0.8,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.8425925925925926,0.8786069096388905,"[[ 7  0  2]
 [ 0 20  0]
 [ 3  0  9]]",0.8780487804878049,0.8809312638580931,0.8780487804878049,0.9723020434227331
e7ccd1733dd74042acc8efcc59cf34b8,group_fam,URINE,0.8,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.5515873015873015,0.6296363636363637,"[[ 1  5  1]
 [ 2 16  3]
 [ 1  2  9]]",0.65,0.6166596989966555,0.65,0.7027749297486139
2dabb9ed9d0542d5aceb095d1414942f,group_fam,CAPILAR,0.7,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.7677224736048265,0.8283169662891687,"[[ 7  0  6]
 [ 0 30  0]
 [ 3  1 13]]",0.8333333333333334,0.8293972835314091,0.8333333333333334,0.9470156120911426
b9a3c6b05e26484cb00888623f275aa4,group_fam,PLASMA,0.7,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.7787114845938374,0.8397693822553898,"[[ 8  0  6]
 [ 0 33  0]
 [ 3  1 13]]",0.84375,0.84129388896707,0.84375,0.9652130639489839
5db452780ddb494ab7dcc6343aeae712,group_fam,SALIVA,0.7,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.5408496732026143,0.5729141859172818,"[[ 4 10  2]
 [ 4 24  6]
 [ 2  4 12]]",0.5882352941176471,0.5687306501547987,0.5882352941176471,0.6965654358777197
e4ae71bda7cd408a983ed026bcc723b4,group_fam,SERUM,0.7,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.8717948717948718,0.9118561430899653,"[[ 8  1  4]
 [ 0 31  0]
 [ 0  0 17]]",0.9180327868852459,0.9310353239656518,0.9180327868852459,0.9640969798702246
e126835453134563b76000f8020d1de6,group_fam,URINE,0.7,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.3921011586452763,0.4319376026272578,"[[ 2  8  1]
 [13 13  6]
 [ 2  5 10]]",0.4166666666666667,0.4549019607843137,0.4166666666666667,0.6088393007837384
6a40b857f3af4191b271cbd0de79eda1,group_fam,CAPILAR,0.6,Random Forest,GridSearchCV,True,True,True,10,92eacec626624085a715a35d19acce57,450165946480039955,0.7612958226768969,0.8136062249986302,"[[10  2  5]
 [ 0 39  0]
 [ 3  4 16]]",0.8227848101265823,0.8151991468447166,0.8227848101265823,0.9357357950192698
