mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010743284225463867,0.001692858442593235,0.0004353046417236328,3.6496394658390784e-05,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-58.86499885622828,-35.70120512202122,-59.793961419756826,-117.08946945006592,-58.38538463667165,-65.96700389694878,27.112915517684538,24
0.27478656768798826,0.0017471146673859678,0.0005096912384033204,2.71953571232521e-05,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-91865.16385982031,-72180.35656110504,-102956.18249425403,-99007.96617180783,-101815.10898292737,-93564.95561398291,11367.294361634962,43
0.009814739227294922,0.001568037701428886,0.000362396240234375,1.5967282244467782e-05,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-58.86499885622828,-35.70120512202122,-59.793961419756826,-117.08946945006592,-58.38538463667165,-65.96700389694878,27.112915517684538,24
0.2726432323455811,0.0028709743863983006,0.00039472579956054685,2.3725511866929065e-05,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-91865.16385982031,-72180.35656110504,-102956.18249425403,-99007.96617180783,-101815.10898292737,-93564.95561398291,11367.294361634962,43
0.020565032958984375,0.014168530877179668,0.00035400390625,1.630852792599523e-05,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-52.3472166321948,-31.144046477128846,-76.98089928357514,-82.27528577958184,-57.151531432356215,-59.97979592096736,18.35146956614879,6
0.34154543876647947,0.012289674606499617,0.00042939186096191406,3.9280501034963555e-05,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-91762.83744481155,-70860.90986960307,-89474.8830401228,-94875.16146085739,-82917.14087106245,-85978.18653729146,8517.596958808535,39
0.021668195724487305,0.014709667955229601,0.00036187171936035155,5.902774095704567e-06,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-52.3472166321948,-31.144046477128846,-76.98089928357514,-82.27528577958184,-57.151531432356215,-59.97979592096736,18.35146956614879,6
0.3459028244018555,0.019502029114771977,0.00047616958618164064,3.355707410635833e-05,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-91762.83744481155,-70860.90986960307,-89474.8830401228,-94875.16146085739,-82917.14087106245,-85978.18653729146,8517.596958808535,39
0.01154775619506836,0.0029459388379316468,0.0004230022430419922,4.043101111536843e-05,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-53.53051377584761,-31.291638966123983,-58.701419631711886,-120.6568139880653,-85.67476264193549,-69.97102980073686,30.688909722228125,34
0.17557101249694823,0.2086142604374549,0.0004333972930908203,5.0741702608047597e-05,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-347489.0079548616,-320998.0778417811,-382046.7991950281,-412286.65159632085,-369372.8000793743,-366438.66733347316,30913.418898796885,47
0.011023950576782227,0.003465943759880421,0.0003754615783691406,2.1182199335742914e-05,relu,0.0001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-53.53051377584761,-31.291638966123983,-58.701419631711886,-120.6568139880653,-85.67476264193549,-69.97102980073686,30.688909722228125,34
0.1887683391571045,0.19324502314790254,0.00038776397705078127,4.699873069827411e-05,relu,0.0001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-347489.0079548616,-320998.0778417811,-382046.7991950281,-412286.65159632085,-369372.8000793743,-366438.66733347316,30913.418898796885,47
0.009696722030639648,0.0015925749678497093,0.0003532886505126953,1.3086899834982313e-05,relu,0.001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-58.86500608986204,-35.70119937340721,-59.793954762856224,-117.08948476893565,-58.385391311363534,-65.96700726128493,27.11292212885039,26
0.2688131332397461,0.002073997718894953,0.0004027366638183594,3.054751477560886e-05,relu,0.001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-91865.16105017,-72180.35302258898,-102956.18086207128,-99007.96339816682,-101815.10751415302,-93564.95316943002,11367.295028509547,41
0.009686899185180665,0.0015132961583803448,0.00035691261291503906,1.0310053019733263e-05,relu,0.001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-58.86500608986204,-35.70119937340721,-59.793954762856224,-117.08948476893565,-58.385391311363534,-65.96700726128493,27.11292212885039,26
0.2694725513458252,0.0031277778893756165,0.0005516529083251954,0.0003119115523753007,relu,0.001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-91865.16105017,-72180.35302258898,-102956.18086207128,-99007.96339816682,-101815.10751415302,-93564.95316943002,11367.295028509547,41
0.022501134872436525,0.014696822164888814,0.00042724609375,1.5025289426416555e-05,relu,0.001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-52.34720429203489,-31.143897763325466,-76.9808789976244,-82.305316952836,-57.15152536736251,-59.985764674636656,18.358813299611906,8
0.34055614471435547,0.007905722067796784,0.0004803180694580078,1.477318165159221e-05,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-91762.831312289,-70860.90656092296,-89474.87625783359,-94875.15586416522,-82917.13467297654,-85978.18093363747,8517.596019743654,37
0.020411872863769533,0.013871371501167929,0.0003557682037353516,1.4904803784520462e-05,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-52.34720429203489,-31.143897763325466,-76.9808789976244,-82.305316952836,-57.15152536736251,-59.985764674636656,18.358813299611906,8
0.3344411849975586,0.013239838252996447,0.0004109382629394531,2.5464443643039516e-05,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-91762.831312289,-70860.90656092296,-89474.87625783359,-94875.15586416522,-82917.13467297654,-85978.18093363747,8517.596019743654,37
