Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight,fit_kwargs,model_kwargs
SALIVA,0.8,MLP Regressor (GridSearchCV),8.912231866629567,7.254345945441909,17.138118565251823,-0.060147822255925,tanh,0.0001,"(50, 50)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),10.693453206908112,8.611950625306372,20.80905118249623,-0.297275262377058,tanh,0.001,"(50, 50)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),9.251703921076402,7.390818859382024,18.0032695578819,0.0289543626382777,tanh,0.0001,"(50, 50)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),10.693453205773036,8.611950620197979,20.809051170695643,-0.297275262101655,tanh,0.001,"(50, 50)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
SERUM,0.8,MLP Regressor (GridSearchCV),11.937718926280224,9.049736471052483,24.59287637205172,-0.6167351789493478,relu,0.001,"(50,)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),10.179567366792588,8.280036473971254,21.094332520357696,-0.1123236844158241,relu,0.001,"(50, 50)",adaptive,sgd,vo2max_relative,,,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),13.256090760981603,10.350598283804493,25.26949593864459,-0.8862683637019599,tanh,0.0001,"(50, 50)",constant,sgd,vo2max_relative,,,,,,,,,,,,,,,,
URINE,0.8,MLP Regressor (GridSearchCV),9.869194886860262,7.964916856750087,19.9520475939406,-0.0455287826959782,tanh,0.0001,"(50, 50)",constant,adam,vo2max_relative,,,,,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),7.93098488825448,6.314710261451719,14.764030218414966,0.2030249288438599,,,,,,vo2max_relative,squared_error,12.0,sqrt,200.0,,,,,,,,,,,,
CAPILAR,0.8,Random Forest Regressor (GridSearchCV),7.533362753085025,5.940505351182629,13.70178509423016,0.2809348293342772,,,,,,vo2max_relative,squared_error,4.0,sqrt,200.0,,,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),8.495427628744666,6.604964285714294,15.700805157855893,0.1710425146352954,,,,,,vo2max_relative,absolute_error,12.0,sqrt,200.0,,,,,,,,,,,,
PLASMA,0.8,Random Forest Regressor (GridSearchCV),7.929156560784818,6.298391202846377,14.342653116849869,0.2778693898751984,,,,,,vo2max_relative,squared_error,4.0,log2,200.0,,,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),7.88024178413258,6.171961111111118,14.73430709759372,0.1711564588667292,,,,,,vo2max_relative,absolute_error,4.0,sqrt,200.0,,,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),8.184746151717572,6.425305555555556,15.116883143068918,0.1058633418550901,,,,,,vo2max_relative,absolute_error,4.0,sqrt,200.0,,,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),8.104868081546027,5.986385081340227,15.57569755566351,0.25477384146317,,,,,,vo2max_relative,squared_error,12.0,sqrt,200.0,,,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),7.0521377166689705,5.490688496027538,13.578634889768011,0.4357939231543823,,,,,,vo2max_relative,squared_error,4.0,sqrt,100.0,,,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),9.917780530958346,7.921884615384616,20.049250395301048,-0.0558483127875439,,,,,,vo2max_relative,absolute_error,8.0,sqrt,100.0,,,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),10.337264481241071,7.99973076923077,20.5229501692602,-0.1470538287947342,,,,,,vo2max_relative,absolute_error,8.0,log2,100.0,,,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),9.094766845057686,7.465199430199427,17.1370055622506,-0.0480298012939472,,,,,,vo2max_relative,squared_error,,,,1.0,10.0,random,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (GridSearchCV),9.523533604061694,8.025641025641027,18.23940274894622,-0.1491764819958627,,,,,,vo2max_relative,absolute_error,10.0,,,4.0,2.0,best,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),9.950080760619842,7.675000000000001,17.40636938895664,-0.1371427319411624,,,,,,vo2max_relative,absolute_error,10.0,,,1.0,10.0,random,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (GridSearchCV),9.296271013793906,7.191666666666667,16.444297235964502,0.0073884580334151,,,,,,vo2max_relative,absolute_error,,,,4.0,10.0,random,,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),8.728232765983226,7.013386243386246,16.379109283044123,-0.0168247554991605,,,,,,vo2max_relative,squared_error,10.0,,,4.0,2.0,random,,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),11.384412078497986,8.72449823633157,20.17333249068374,-0.7298748577139951,,,,,,vo2max_relative,squared_error,,,,1.0,10.0,random,,,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),7.876834179965485,5.84440773809524,14.523494072691298,0.2961184270694174,,,,,,vo2max_relative,squared_error,,,,1.0,10.0,random,,,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),8.574034202171111,6.41625,15.610095886935932,0.1659989198348568,,,,,,vo2max_relative,absolute_error,,,,4.0,10.0,random,,,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),11.174038991760458,8.875628815628813,21.70100292265317,-0.3402718867209919,,,,,,vo2max_relative,squared_error,,,,4.0,2.0,random,,,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),13.703223465058626,10.771794871794873,26.803663562103225,-1.0156634605002126,,,,,,vo2max_relative,absolute_error,,,,4.0,10.0,random,,,,,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),8.365996487278393,6.881056819817959,15.819409618693618,0.1131996655924464,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,0.8,0.8,,,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),7.496560364540724,5.770482752873348,13.213802221224949,0.2879432999624829,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,1.0,0.8,,,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),8.502363062056146,6.626146716163272,15.667808446898787,0.1696884860107116,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,1.0,1.0,,,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),8.154340829244209,6.426355252947127,14.45309747155613,0.2362706372196545,,,,0.1,,vo2max_relative,,3.0,,50.0,,,,0.8,0.8,,,,,,,
