Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²,run_id,run_name
1644.993162920778,0.0085753542008098,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
3048.926366445193,0.0079762574001986,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
1639.207723895265,0.0066758022592893,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
971.9537562861336,0.0058203515417824,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
1228.441553083863,0.0052246466958574,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
964.23983758545,0.0052114843794366,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
1106.947333548097,0.005132393087422,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
941.0980814833993,0.004900213804219,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
3046.997886770022,0.004746026783129,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
983.5246343371588,0.0046876226398398,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
1637.279244220094,0.0044550405147585,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
970.0252766109628,0.0043581218356032,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
977.7391953116462,0.0043273252983574,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
979.6676749868176,0.004276067163674,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
1226.513073408692,0.0042517028433873,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
973.8822359613046,0.0042328357427615,vo2max_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,8.12850543844137,6.496884696652283,15.2598197904003,0.1628333990200006,b25c5b1b2e374724b81fff5be61b9e1e,experiment_linear_vo2max_relative
