mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.055932140350341795,0.0006731607896879352,0.005037117004394531,9.401306222759043e-05,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-12.621479691904453,-12.779557217773776,-11.313824922390648,-12.493285001301787,-14.307227489723756,-12.703074864618884,0.9549701729286652,1
0.11041474342346191,0.0007062327924556638,0.009340858459472657,0.00012894108796076252,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-12.801175488748815,-12.949418000415884,-11.37203715524567,-12.260522632921056,-14.464051742751229,-12.769441004016532,1.0116165061511406,6
0.03790736198425293,0.00013387554576811306,0.004904651641845703,9.943919612976325e-05,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-12.706928712029619,-13.256438643950608,-12.270473282025407,-13.187338160592926,-13.525320602063475,-12.989299880132407,0.4459474517750708,16
0.07485833168029785,0.00021393003502090307,0.009382820129394532,3.6342249668500553e-05,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-12.892134649021138,-13.051315313177193,-11.87779664749637,-12.713601971724282,-13.74566667863547,-12.856103052010889,0.6013517319677766,8
0.0737116813659668,0.0009428252675220775,0.005013227462768555,5.172507420558203e-05,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-12.998085486407744,-13.630605497045618,-11.289770793608778,-12.003925961267486,-14.468196662454947,-12.878116880156913,1.1310206322103344,10
0.146464204788208,0.0021921480165344102,0.009586095809936523,0.00012350772779455248,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-13.039040420202236,-13.71168530120033,-10.963381187451876,-11.873809803151154,-14.219234872168766,-12.761430316834872,1.193825521116246,5
0.04492363929748535,0.0005080073370355771,0.005048608779907227,0.00013480394771330656,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-13.673597497152825,-13.52152600263903,-11.908462734396451,-13.022528968584203,-14.009350278411455,-13.227093096236795,0.7319311072721464,22
0.08917059898376464,0.0004943274848185227,0.009566688537597656,0.00010970370223301855,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-13.655002706130231,-13.609425427851116,-11.853290239023455,-12.944162786979316,-13.825511008977394,-13.177478433792306,0.7269751606571268,20
0.0810079574584961,0.001892358544280281,0.005025720596313477,3.1859931015841875e-05,squared_error,12,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-12.974433596558221,-14.072607175112585,-11.575353163640823,-12.160460055234724,-14.611246159692117,-13.078820030047694,1.1358377456073239,17
0.16282353401184083,0.006044447306249668,0.009788036346435547,0.000271998506569856,squared_error,12,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-13.179484838152424,-13.942412484097783,-11.018286936154333,-11.613640670364484,-14.580341342838514,-12.866833254321506,1.3548687615194035,9
