Wavenumber (cm⁻¹),Importance
3050.854846120364,0.0007584702416974606
3048.926366445193,0.0011264275347003256
3046.997886770022,0.0015611601321851845
3045.069407094851,0.0021298246488305394
3043.14092741968,0.0028648426320751997
3041.212447744509,0.0029665024914735253
3039.283968069338,0.0025831185481134957
3037.355488394167,0.0024632102051710325
3035.427008718997,0.0022530714786340475
3033.498529043825,0.0019411317770178396
3031.570049368655,0.0017336831253824759
3029.641569693484,0.0014452356399729089
3027.713090018313,0.0012177609900963359
3025.784610343142,0.0011329089630281307
3023.856130667971,0.0009710857056596663
3021.9276509928,0.0007565357812097288
3019.999171317629,0.0005669917929849945
3018.070691642458,0.00038131499049329557
3016.142211967287,0.00024057311082772485
3014.213732292117,0.00017023110502324188
3012.285252616945,0.00016120469657060883
3010.356772941775,0.00019143251476299092
3008.428293266604,0.00023386530284033916
3006.499813591433,0.00026375584771776216
3004.571333916262,0.000290422485052521
3002.642854241091,0.0003736646822222431
3000.71437456592,0.0005025633793811743
2998.785894890749,0.0006379239561598825
2996.857415215578,0.0007760990741493059
2994.928935540408,0.0008353675490828891
2993.000455865237,0.0008140717495505833
2991.071976190066,0.0008164444250157322
2989.143496514895,0.0008185085330336127
2987.215016839724,0.0007896317873599683
2985.286537164553,0.0007615078244838344
2983.358057489382,0.0007187156456658339
2981.429577814211,0.0006628007177643025
2979.501098139041,0.0006102220160720754
2977.572618463869,0.0005456749245824653
2975.644138788698,0.00046313297490810563
2973.715659113528,0.0003858537317930667
2971.787179438357,0.00033190028463859356
2969.858699763186,0.00029058857634752525
2967.930220088015,0.00024821866493120165
2966.001740412844,0.00019940243724766855
2964.073260737673,0.00014632674312974378
2962.144781062502,0.00010567659625068271
2960.216301387331,8.02209214771457e-05
2958.287821712161,4.788268097139097e-05
2956.359342036989,5.785821864584158e-06
2954.430862361819,2.969742824052854e-05
2952.502382686648,4.92064817653619e-05
2950.573903011477,4.9714231106973835e-05
2948.645423336306,4.23161834987971e-05
2946.716943661135,4.078754186095126e-05
2944.788463985964,4.4225788175602235e-05
2942.859984310793,5.184207310710998e-05
2940.931504635622,6.820287895816219e-05
2939.003024960452,9.843037337467904e-05
2937.074545285281,0.000142853603169999
2935.146065610109,0.00018991882727089948
2933.217585934939,0.00023015418404203987
2931.289106259768,0.0002643785786362667
2929.360626584597,0.00029286805666063864
2927.432146909426,0.0003143655773434284
2925.503667234255,0.00032973259568538454
2923.575187559084,0.000338876479648576
2921.646707883913,0.0003405660153156407
2919.718228208742,0.0003349451848341488
2917.789748533572,0.00031912606927284997
2915.861268858401,0.0002917817160033475
2913.93278918323,0.0002609810857788137
2912.004309508059,0.0002317334833327734
2910.075829832888,0.0002061987575405269
2908.147350157717,0.00018707435637472388
2906.218870482546,0.0001662246617546363
2904.290390807375,0.00014192717645203275
2902.361911132204,0.00012197642798120492
2900.433431457033,0.00010368127552609631
2898.504951781862,8.40537384278253e-05
2896.576472106692,6.426789479247902e-05
2894.647992431521,4.4608095182005056e-05
2892.71951275635,2.7619178159898788e-05
2890.791033081179,1.4875462889441398e-05
2888.862553406008,6.683811670906783e-06
2886.934073730837,2.1964363936997204e-06
2885.005594055666,1.7931656689065005e-05
2883.077114380495,3.937628418539321e-05
2881.148634705325,6.331123827158796e-05
