Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.7346206971967688,0.5795984474069085,22.059918898022993,-0.7376469339776994,tanh,0.001,"(50, 50)",adaptive,sgd,il_10,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.6595292020831452,0.5440104662109302,21.03144104823765,-0.4005650274803363,tanh,0.001,"(50, 50)",adaptive,sgd,il_10,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.734620697196766,0.5795984474069065,22.05991889802291,-0.7376469339776859,tanh,0.001,"(50, 50)",adaptive,sgd,il_10,,,,,,,,,,,,,,
CAPILAR,0.8,MLP Regressor (GridSearchCV),0.6621683664246303,0.5577527910729143,22.412549750290886,-0.41179642358761237,tanh,0.001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.491727728961751,0.43208648882830075,16.166731654394315,-0.013815193651784297,relu,0.0001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.8190197289820101,0.684035898589782,26.74442659844557,-1.8125362190718288,tanh,0.001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.49172772896174965,0.43208648882830003,16.16673165439427,-0.013815193651778968,relu,0.0001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
PLASMA,0.8,MLP Regressor (GridSearchCV),0.5203234484483511,0.4352370095898423,17.23663575703916,-0.13515768283582252,relu,0.001,"(50,)",constant,adam,il_10,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.8562226932693374,0.6112185004191877,19.69869809177934,-0.12186117666106155,tanh,0.001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
SALIVA,0.8,MLP Regressor (GridSearchCV),0.8764932695289184,0.6256139105646655,19.78430429059801,-0.17560878233220523,tanh,0.001,"(50, 50)",constant,sgd,il_10,,,,,,,,,,,,,,
