Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5659759166183154,0.7020952380952385,4.386948640730619,-0.04219620110439859,,,,,,rdw,absolute_error,4.0,log2,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5474824080636767,0.7134144169335496,4.46843286490347,-0.01772576564856987,,,,,,rdw,squared_error,4.0,sqrt,200.0,,,,,,,,,,
SALIVA,0.8,Random Forest Regressor (GridSearchCV),1.5659759166183154,0.7020952380952385,4.386948640730619,-0.04219620110439859,,,,,,rdw,absolute_error,4.0,log2,200.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.410109547906801,0.6433941287941071,4.050005364048191,0.06038426911622674,,,,,,rdw,squared_error,8.0,sqrt,100.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.399548122386292,0.6349374999999979,3.9918655737032167,0.07440661003984383,,,,,,rdw,absolute_error,12.0,sqrt,200.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.410109547906801,0.6433941287941071,4.050005364048191,0.06038426911622674,,,,,,rdw,squared_error,8.0,sqrt,100.0,,,,,,,,,,
SERUM,0.8,Random Forest Regressor (GridSearchCV),1.399548122386292,0.6349374999999979,3.9918655737032167,0.07440661003984383,,,,,,rdw,absolute_error,12.0,sqrt,200.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.5058863472352333,0.7672763157894739,4.911117829979477,-0.031169109640158954,,,,,,rdw,absolute_error,4.0,sqrt,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.484633409917109,0.7498026315789468,4.779729013708183,-0.002268224759648163,,,,,,rdw,absolute_error,4.0,log2,100.0,,,,,,,,,,
URINE,0.8,Random Forest Regressor (GridSearchCV),1.5058863472352333,0.7672763157894739,4.911117829979477,-0.031169109640158954,,,,,,rdw,absolute_error,4.0,sqrt,100.0,,,,,,,,,,
