mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.061861848831176756,0.0009728865851714493,0.0052239418029785155,0.00019032573929086082,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-213668.18217285626,-259241.2032676996,-755766.3418102737,-313657.9011643205,-396762.86523820646,-387819.2987306713,193817.37012616315,7
0.12141671180725097,0.00325465889100679,0.009461641311645508,8.202153564164933e-05,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-218515.0110076209,-258963.3252567918,-760111.1556074604,-316428.3446171655,-402368.48524167057,-391277.26434614183,194482.69329915085,11
0.0396885871887207,0.0004113554524426008,0.005031871795654297,9.270079825304184e-05,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-216072.36486227566,-262613.25402948644,-749434.6331740847,-336072.76746209746,-379399.12668501993,-388718.4292425929,189041.67458248587,9
0.07909574508666992,0.000989079865918422,0.009725522994995118,0.000191970897170004,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-213341.73550327445,-268042.438216466,-756244.79941481,-329687.2261896625,-379488.66505542176,-389360.97287592693,191814.03465766602,10
0.08148813247680664,0.003176736645213195,0.005039072036743164,0.0001381670204270684,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-230044.80749233844,-243337.939382535,-788211.6037694887,-299678.95388587256,-396042.9236812521,-391463.2456422974,206809.86817369793,12
0.16117024421691895,0.005199967368271617,0.009799480438232422,0.00019288207455579,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-232237.06894256698,-254012.04302122514,-785512.9412281374,-305867.5531834898,-417851.330379571,-399096.1873509981,203594.01544625429,19
0.047237825393676755,0.0007929980200887443,0.005353450775146484,0.0001419282391882323,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-220811.92960801354,-271653.3678124558,-776264.4892906199,-322286.48709582625,-366461.94542569964,-391495.6438465231,198473.5545559807,13
0.09311399459838868,0.0014533510162443976,0.009699249267578125,0.00020825245880306493,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-225530.6171651573,-272359.8448856749,-772129.39604374,-314607.5182092093,-374052.2538954176,-391735.92603983975,196385.10586419835,14
0.08714675903320312,0.0033438844538687634,0.005196046829223633,9.891646366231408e-05,squared_error,12,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-245481.70400083644,-258640.82314151886,-816472.8733889385,-305567.92041756056,-421167.00420275173,-409466.0650303212,212708.91036100173,23
0.17247457504272462,0.006181966788851309,0.009918975830078124,0.0002918682969093199,squared_error,12,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-248981.14193293493,-259702.86587997412,-806722.643842254,-306837.9338225287,-426403.3484597575,-409729.5867874899,208238.4563125996,24
0.04926657676696777,0.0011219675264265685,0.005071020126342774,9.79744998653852e-05,squared_error,12,log2,100,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-218036.3001374778,-267206.45109369414,-778201.3174476407,-320919.46567020315,-358564.59723591333,-388585.6263169858,200549.41291220547,8
0.09986705780029297,0.0037746022611606688,0.010369873046875,0.0005550700273741501,squared_error,12,log2,200,"{'criterion': 'squared_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 200}",-232058.73465153383,-270438.4085343703,-777748.9803016274,-315118.89711783716,-379358.4763359521,-394944.69938826415,197579.28054994057,16
0.16693539619445802,0.0013068251859197726,0.005141925811767578,0.0002796611679934252,absolute_error,4,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",-209477.04632918752,-265313.2262781613,-762135.7604185485,-318736.4230144194,-406608.781001613,-392454.24740838597,195930.89847439487,15
0.34673757553100587,0.03301870435790571,0.010013628005981445,0.0005021239140071625,absolute_error,4,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",-215679.16566829677,-268513.21040831454,-770324.4938903224,-320628.7955618468,-406497.6128220477,-396328.65567016567,197320.95165055033,17
0.07806415557861328,0.0013408115312782732,0.005199241638183594,0.0002416326555798651,absolute_error,4,log2,100,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",-192756.24665871874,-257216.24597807255,-751488.0770653225,-312492.2446532258,-336396.84858241945,-370069.9325875519,197030.43697366372,1
0.1577981472015381,0.002624321204821144,0.009601783752441407,0.00033750604794900523,absolute_error,4,log2,200,"{'criterion': 'absolute_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",-198678.74185730465,-260232.45453861498,-769309.61948125,-309279.77237081446,-330886.4892281691,-373677.41549523064,202976.47922017434,2
0.23504881858825682,0.003745832865214596,0.00515437126159668,0.0001760202242897307,absolute_error,8,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",-240657.16836012498,-263510.53097606456,-762054.7850806453,-322854.94525761297,-442383.45063841937,-406292.1760625735,191129.76717950284,21
0.4631660938262939,0.011823984022250265,0.0097808837890625,0.00027267519194845263,absolute_error,8,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",-221895.98326028895,-260874.45895156445,-758617.1026697579,-312733.3274553387,-436581.15767591045,-398140.40600257216,194226.437985585,18
0.10358452796936035,0.0017363024174299026,0.005232572555541992,0.0002424389893071329,absolute_error,8,log2,100,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",-222633.69934867963,-262426.23722912907,-756000.9605951612,-292889.27577983873,-387140.5129049033,-384218.1371715424,193656.7925139643,5
0.20514020919799805,0.003628427846247278,0.009830665588378907,0.0003129983732764739,absolute_error,8,log2,200,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",-215390.74881224008,-272204.18924558064,-767336.0497066529,-299188.07990616123,-364844.87036120123,-383792.7876063672,197703.65499385135,4
0.2555760383605957,0.007473331777341183,0.005138397216796875,0.0001636841740479226,absolute_error,12,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",-217796.61446712498,-269506.25244238717,-774149.424360484,-324958.58422258054,-441883.4533138065,-405658.8657612767,198715.78071980175,20
0.5045959949493408,0.013730321848028183,0.00997166633605957,0.00035245167517101924,absolute_error,12,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 200}",-220594.44438960135,-266077.25168020977,-775900.7219661291,-315745.90268183075,-457847.14621398284,-407233.0933863508,200801.6263461937,22
0.11200890541076661,0.0018974397680257852,0.0051380634307861325,0.00014806393443815436,absolute_error,12,log2,100,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-216483.09806450002,-264979.32413380645,-767427.9466580644,-296595.90114377416,-381642.1312019678,-385425.6802404226,198433.71549085647,6
0.22231383323669435,0.004964517239876007,0.009829568862915038,0.00016882981027178807,absolute_error,12,log2,200,"{'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'log2', 'n_estimators': 200}",-206175.21902387496,-268301.21688565327,-772539.573502016,-295918.051207,-373791.087689677,-383345.02966164425,201906.59621888923,3
